Noch unbekannt                   =UNBEKANNT
BEK LAIM-80687 MUENCHEN          =BEK-LAI
BEK LANDSBERG/LECH               =BEK-LAN
BEK MAINBURG                     =BEK-MAI
BEK MIESBACH                     =BEK-MIE
BEK MUEHLDORF                    =BEK-MUEH
BEK MUENCHEN-80657 MUENCHEN      =BEK
BEK MUENCHEN-80684 MUENCHEN      =BEK-HAR
BEK MUENCHEN-80684 MUENCHEN      =BEK-GRO
BEK MUENCHEN-80684 MUENCHEN      =BEK-NEUH
BEK MUENCHEN-80684 MUENCHEN      =BEK-PAS
BEK MUENCHEN-80684 MUENCHEN      =BEK-MOO
BEK MURNAU                       =BEK-MUR
BEK NEUAUBING-81243 MUENCHEN     =BEK-NEUA
BEK NEUBURG                      =BEK-NEUB
BEK NEUFAHRN                     =BEK-NEUF
BEK NEUPERLACH-81737 MUENCHEN    =BEK-NEUP
BEK OTTOBRUNN                    =BEK-OTT
BEK PFAFFENHOFEN                 =BEK-PFA
BEK PFARRKIRCHEN                 =BEK-PFAR
BEK PRIEN                        =BEK-PRI
BEK RECHTS DER ISAR-81673 MUENCHE=BEK-RDI
BEK ROSENHEIM                    =BEK-ROS
BEK ROTTACH-EGERN                =BEK-ROT
BEK RUHSTORF A.D. ROTH           =BEK-RUH
BEK SCHONGAU                     =BEK-SCHO
BEK SCHWABING-80804 MUENCHEN     =BEK-SCHW
BEK SCHWABING-80939 MUENCHEN     =BEK-EUR
BEK SIMBACH A. INN SIMBACH       =BEK-SIM
BEK STRAUBING                    =BEK-STRA
BEK WOLFRATSHAUSEN               =BEK-WOL
BEK-84028 LANDSHUT               =BEK-LAND
BERLIN-KOELNISCHE KRANKENVERS-803=BVV
BERLINER VEREIN VERS.-44137 DORTM=BVV-DOR
BERLINER VEREIN-22453 HAMBURG    =BVV-HAM
BERLINER VEREIN-33602 BIELEFELD  =BVV-BIE
BERLINER VEREIN-45006 ESSEN      =BVV-ESS
BERLINER VEREIN-47798 KREFELD    =BVV-KRE
BERLINER VEREIN-48003 MöNSTER    =BVV-MUE
BERLINER VEREIN-50511 KôLN       =BVV-KOE
BERLINER VEREIN-53111 BONN       =BVV-BON
BERLINER VEREIN-55118 MAINZ      =BVV-MAI
BERLINER VEREIN-60325 FRANKFURT  =BVV-FRA
BERLINER VEREIN-68004 MANNHEIM   =BVV-MAN
BERLINER VEREIN-70178 STUTTGART  =BVV-STU
BERLINER VEREIN/90002 NöRNBERG   =BVV-NUE
BG. BERGBAU-81602 MöNCHEN        =BERG-BG
BG. D. STRASSEN- U. U-BAHNEN-7277=BAHN-BG
BG. D.CHEM.-U.GLAS-IND.-97003 WöR=GLAS-BG
BG. DER CHEMISCHEN IND.-90449 NöR=CHEM-BG
BG. DER GAS- UND WASSERWERKE-4022=GAS-BG
BG. DRUCK- U. PAPIERVERARB.-90402=DRUCK-BG
BG. F. EINZELHANDEL BEZIRKSVER-80=EINZEL-BG
BG. F. FAHRZEUGHALTUNGEN BEZIR-81=FAHR-BG
BG. F. NAHRUNGSM. U.GASTSTAETT-82=NAHR-BG
BG. FLEISCHEREI-55062 MAINZ      =FLEIS-BG
BG. FUER BINNENSCHIFFAHRT-47023 D=BIN-BG
BG. GARTENBAU-34119 KASSEL       =GART-BG
BG. GROSSHANDEL- UND LAGEREI BE-8=GROSH-BG
BG. GROSSHANDELS- UND LAGEREI B-8=GROSSH-BG
BG. HOLZ-81241 MUENCHEN          =HOLZ-BGG
BG. LANDW. NIEDERBAYERN-84023 LAN=LANDWI-BG
BG. LANDW. OBERBAYERN-81673 MUENC=LANDOB-BG
BG. LEDERINDUSTRIE-55062 MAINZ   =LEDER-BGG
BG. PAPIERMACHER-55062 MAINZ     =PAP-BG
BG. STEINBRUCH-90247 NöRNBERG    =STEIN-BG
BG. SUEDD. EDEL- UND UNEDEL-90006=EDEL-BG
BG. SUEDD. METALL-80639 MUENCHEN =EISEN-BG
BG. TEXTIL- U. BEKLEIDUNG-86153 A=TEX-BG
BG. TIEFBAU-81241 MUENCHEN       =TIEF-BG
BG. VERWALTUNG-80037 MUENCHEN    =VERW-BG
BG. ZUCKER-55062 MAINZ           =ZUCK-BG
BG.D.FEINMECH.U.ELEKTROT.-90403 N=FEIN-BG
BG.F.GESUNDHEITSD. U.WOHLFAHRT-20=GESUND-BG
BKK ALFRED KUNZ-80336 MUENCHEN   =BKK-KUNZ
BKK ALLIANZ-80802 MUENCHEN       =BKK-ALL
BKK AUDI-85001 INGOLSTADT        =BKK-AUD
BKK BAYER AG LEVERKUSEN-51373 LEV=BAY-LEV
BKK BAYER AG LEVERKUSEN-81539 MUE=BAY
BKK BAYER..ROTES KREUZ-80634 MUEN=BKK-BRK
BKK BAYER..STAATSBAUVERWALTUNG-80=BKK-BAYR
BKK BAYER..STAATSTHEATER-80539 MU=BKK-THEA
BKK BAYERNWERK-80636 MUENCHEN    =BKK-BAYW
BKK BOSCH-81673 MUENCHEN         =BKK-BOSCH
BKK BUNDESBAHN-83022 ROSENHEIM   =BKK-BUB
BKK BUNDESPOST-80078 MUENCHEN    =BPK
BKK BUNDESVERKEHRSMINISTERIUM-800=BKK-MIN
BKK BURDA GMBH VERLAG-77601 OFFEN=BKK-BURDA
BKK D. COLONIA VERS.-51002 KOELN =BKK-COLON
BKK D. LANDES U. STADT BERLIN-107=BKK-LUB
BKK DAS-80538 MUENCHEN           =BKK-DAS
BKK DER BMW AG-80809 MUENCHEN    =BKK-BMWM
BKK DER BMW AG-84030 LANDSHUT    =BKK-BMWL
BKK DER BMW AG-84130 DINGOLFING  =BKK-BMWD
BKK DER BMW AG-93055 REGENSBURG  =BKK-BMWR
BKK DEUTSCHE BANK AG-40211 DöSSEL=BKK-DB
BKK GAS- UND WASSERWERKE-80797 MU=BKK-GAS
BKK GEBR..VOLKHARDT-80331 MUENCHE=BKK-VOLK
BKK HOECHST AG GENDORF-84508 BURG=BKK-HOECG
BKK HOECHST AG-65903 FRANKFURT   =BKK-HOEC
BKK J.M. VOITH GMBH-89522 HEIDENH=BKK-VOI
BKK KARSTADT-45021 ESSEN         =BKK-KAR
BKK KAUFHALLE-94315 STRAUBING    =BKK-KAUF
BKK KAUFHOF-50450 KOELN          =BKK-KAUFH
BKK KRAUS MAFFEI-80997 MUENCHEN  =BKK-KRAUS
BKK LEIBBRANDT (PENNY/REWE)-85386=BKK-LEIB
BKK LINDE AG-65189 WIESBADEN     =BKL
BKK LINDE AG-82049 HôLLRIEGELSKRE=BKL-MUE
BKK LODEN FREY-80805 MUENCHEN    =BKK-LODEN
BKK LUFTSCHIFFBAU-ZEPPELIN-88002 =BKK-LUFT
BKK MUM MUENCHEN-80995 MUENCHEN  =MAN
BKK NECKERMANN VERSAND AG-60386 F=BKK-NEK
BKK OBERBAYERN-85540 HAAR        =BKK-OBB
BKK PHIL. HOLZMANN-60459 FRANKFUR=BKK-HOLZ
BKK RAIFFEISEN- U.VEREINSBANK    =BKK-RUV
BKK RODENSTOCK-80469 MUENCHEN    =BKK-RODEN
BKK SCHOTT-ZWIESEL GLASWERKE-9422=BKK-GLAS
BKK SIEMENS HAUPTVERW.-81739 MUEN=SBK
BKK SIEMENS MUE-NORD-80915 MUENCH=SBK-RING
BKK SIEMENS-81379 MUENCHEN       =SBK-HOF
BKK SIEMENS-81541 MUENCHEN       =SBK-BAL
BKK SIEMENS-81541 MUENCHEN       =SBK-OS
BKK SIEMENS-81679 MUENCHEN       =SBK-RS
BKK SIEMENS-81739 MUENCHEN       =SBK-OH
BKK SIEMENS-85705 UNTERSCHLEISSHE=SBK-UNTER
BKK STADTWERKE-VERKEHRSBETR-81675=VBK
BKK VIKTORIA VERS. AG-40476 DöSSE=BKK-VIK
BKK ZAHNRADFABRIK PASSAU GMBH    =BKK-ZAHNR
BOTSCHAFT VON KUWAIT-53175 BONN  =KUWAIT
BRAUNSCHWEIGER ERSATZKASSE-80686 =BRE
BUNDESAMT FöR DEN ZIVILDIENST-509=ZIVIL
BUNDESAUSFUEHRG.BEH.F.UNFALLV-263=UNFA-BG
BUNDESKNAPPSCHAFT-80801 MUENCHEN =BUK
BUNDESVERSICHERUNGSANSTALT-10704 =BFA
BUNDESWEHR WEHRBEREICHSVERW.VI-80=BWV
CENTRALVERSICHERUNGS AG-50670 KOE=CENTRAL
COLONIA - VERS.-50460 KôLN       =COLONIA
CONCORDIA-30625 HANNOVER         =CONC-HAN
CONTINENTALE KRANKENVERS-20457 HA=CKV-HAM
CONTINENTALE KRANKENVERS-30062 HA=CKV-HAN
CONTINENTALE KRANKENVERS-40212 DU=CKV-DUE
CONTINENTALE KRANKENVERS-44047 DO=CKV-DOR
CONTINENTALE KRANKENVERS-50931 KO=CKV-KOE
CONTINENTALE KRANKENVERS-65009 WI=CKV-WIE
CONTINENTALE KRANKENVERS-70178 ST=CKV-STU
CONTINENTALE KRANKENVERS-76050 KA=CKV-KAR
CONTINENTALE KRANKENVERS-80327 MU=CKV
CONTINENTALE KRANKENVERS-90122 Nö=CKV-NUE
DAK BAD REICHENHALL-83435 BAD REI=DAK-REI
DAK BAD TOELZ-83646 BAD TOELZ    =DAK-TOEL
DAK BURGHAUSEN-84489 BURGHAUSEN  =DAK-BUR
DAK DEGGENDORF-94469 DEGGENDORF  =DAK-DEG
DAK DONAUWOERTH-86609 DONAUWôRTH =DAK-DON
DAK FRANKFURTER RING-80807 MUENCH=DAK-NOR
DAK FREISING                     =DAK-FRE
DAK FREYUNG                      =DAK-FREY
DAK FUER RENTNER-80335 MUENCHEN  =DAK-REN
DAK FUERSTENFELDBRUCK            =DAK-FFB
DAK FUESSEN                      =DAK-FUE
DAK GERETSRIED                   =DAK-GERE
DAK HARRAS-81369 MUENCHEN        =DAK-HAR
DAK HAUPTBAHNHOF-80335 MUENCHEN  =DAK-HBH
DAK HOLZKIRCHEN                  =DAK-HOL
DAK INGOLSTADT                   =DAK-ING
DAK KAUFBEUREN                   =DAK-KAUF
DAK KEMPTEN                      =DAK-KEMP
DAK LAIM-80687 MUENCHEN          =DAK-LAI
DAK MAINBURG                     =DAK-MAI
DAK MIESBACH                     =DAK-MIE
DAK MITTE-80335 MUENCHEN         =DAK-MIT
DAK MOOSBURG                     =DAK-MOO
DAK MUENCHEN OST-81604 MUENCHEN  =DAK-MUEO
DAK MUENCHEN-81671 MUENCHEN      =DAK
DAK MURNAU                       =DAK-MUR
DAK NEUBURG                      =DAK-NEUB
DAK NOERDLINGEN                  =DAK-NOE
DAK NUERNBERG                    =DAK-NUE
DAK OEFFENTL. DIENST-80335 MUENCH=DAK-OEFFE
DAK OLCHING                      =DAK-OLC
DAK PASING-81241 MUENCHEN        =DAK-PAS
DAK PFAFFENHOFEN                 =DAK-PFA
DAK PFARRKIRCHEN                 =DAK-PFAR
DAK PLANEGG                      =DAK-PLA
DAK ROSENHEIM                    =DAK-ROS
DAK ROTKREUZPLATZ-80634 MUENCHEN =DAK-ROT
DAK ROTTACH-EGERN                =DAK-ROTT
DAK SCHROBENHAUSEN               =DAK-SCHR
DAK SCHWABING-80802 MUENCHEN     =DAK-SCH
DAK SIMBACH                      =DAK-SIM
DAK SOLLN-81479 MUENCHEN         =DAK-SOL
DAK STARNBERG                    =DAK-STA
DAK STRAUBING                    =DAK-STRA
DAK TRAUNSTEIN                   =DAK-TRA
DAK UNTERPFAFFENHOFEN-82110 GERME=DAK-UNT
DAK WALDKRAIBURG                 =DAK-WAL
DAK WASSERBURG                   =DAK-WAS
DAK WOLFRATSHAUSEN               =DAK-WOL
DEUTSCHE BEAMTEN KK-10823 BERLIN =DBK-BER1
DEUTSCHE BEAMTEN KK-10823 BERLIN =DBK-BER
DEUTSCHE BEAMTEN KK-20099 HAMBURG=DBK-HAM
DEUTSCHE BEAMTEN KK-24103 KIEL   =DBK-KIE
DEUTSCHE BEAMTEN KK-28064 BREMEN =DBK-BRE
DEUTSCHE BEAMTEN KK-30013 HANNOVE=DBK-HAN
DEUTSCHE BEAMTEN KK-33602 BIELEFE=DBK-BIE
DEUTSCHE BEAMTEN KK-34009 KASSEL =DBK-KAS
DEUTSCHE BEAMTEN KK-44139 DORTMUN=DBK-DOR
DEUTSCHE BEAMTEN KK-45009 ESSEN  =DBK-ESS
DEUTSCHE BEAMTEN KK-46045 OBERHAU=DBK-OBE
DEUTSCHE BEAMTEN KK-48143 MöNSTER=DBK-MUE
DEUTSCHE BEAMTEN KK-50505 KôLN   =DBK-KOE
DEUTSCHE BEAMTEN KK-53111 BONN   =DBK-BON
DEUTSCHE BEAMTEN KK-56004 KOBLENZ=DBK-KOB
DEUTSCHE BEAMTEN KK-58007 HAGEN  =DBK-HAG
DEUTSCHE BEAMTEN KK-60311 FRANKFU=DBK-FRA
DEUTSCHE BEAMTEN KK-65185 WIESBAD=DBK-WIE
DEUTSCHE BEAMTEN KK-67003 LUDWIGS=DBK-LUD
DEUTSCHE BEAMTEN KK-70178 STUTTGA=DBK-STU
DEUTSCHE BEAMTEN KK-72072 TöBINGE=DBK-TUE
DEUTSCHE BEAMTEN KK-76050 KARLSRU=DBK-KAR
DEUTSCHE BEAMTEN KK-80331 MUENCHE=DBK
DEUTSCHE BEAMTEN KK-86004 AUGSBUR=DBK-AUG
DEUTSCHE BEAMTEN KK-90007 NöRNBER=DBK-NUE
DEUTSCHE VERS.-50448 KOELN       =DKV
DEUTSCHER RING KRANKENVERS.-20420=DR-KV
DIAKONISCHES WERK-70191 STUTTGART=DIAKO
EIGEN-UNFALL-VERS.-80331 MUENCHEN=EIG.U.BG
EISENBAHN-UNFALLKASSE-60329 FRANK=BUN-BG
ENTSCHAEDIGUNGSAMT-10783 BERLIN  =ENTSCH
EUROPA KRANKENVERS.-50931 KôLN   =EUROPA-KO
EUROPA VERS.-80331 MUENCHEN      =EUROPA
EUROPE ASSISTANCE VERS.AG-80336 M=EUROP-MUE
EV.KIRCHE FRAUENARBEIT-10625 BERL=EV-BER
FAMILIENFöRSORGE KRANKENVERS.-405=PFARRER
FREIE HEILFUERSORGE DER BAYER.-81=BEPO
FREIE HEILFUERSORGE-80797 MUENCHE=FREIE
GAERTNER ERSATZKASSE-81371 MUENCH=GAERTN.EK
GILDE VERS.-40239 DUESSELDORF    =VGKV A
GILDE VERSICHERUNG AG-10789 BERLI=VGKV-BER
GOTHAER VERS.-50672 KôLN         =GOTHA
HALLESCHE NATIONALE-10787 BERLIN =HNKV-BER
HALLESCHE NATIONALE-40211 DöSSELD=HNKV-DUE
HALLESCHE NATIONALE-68161 MANNHEI=HNKV-MAN
HALLESCHE NATIONALE-70049 STUTTGA=HNKV-STU
HALLESCHE NATIONALE-80331 MUENCHE=HNKV
HAMBURG MUENCHNER ERSATZKASSE-800=HME
HAMBURGISCHE-ZIMMERER-EK-80807 MU=HZEK
HANDELSKRANKENKASSE-28079 BREMEN =HKK
HANSE-MERKUR KRANKENVERS.-20308 H=HMKV
HANSEATISCHE ERSATZKASSE-80337 MU=HEK
IKK MUENCHEN-81477 MUENCHEN      =IKK
INTER VERS.-10789 BERLIN         =IKV-BER
INTER VERS.-20457 HAMBURG        =IKV-HAM
INTER VERS.-23552 LöBECK         =IKV-LUE
INTER VERS.-34117 KASSEL         =IKV-KAS
INTER VERS.-42283 WUPPERTAL      =IKV-WUP
INTER VERS.-44135 DORTMUND       =IKV-DOR
INTER VERS.-50667 KôLN           =IKV-KOE
INTER VERS.-68016 MANNHEIM       =IKV-MAN
INTER VERS.-70178 STUTTGART      =IKV-STU
INTER VERS.-80336 MUENCHEN       =IKV
INTER VERS.-86150 AUGSBURG       =IKV-AUG
INTER VERS.-90402 NöRNBERG       =IKV-NUE
INTER VERS.-93055 REGENSBURG     =IKV-REG
INTER VERS.-95406 BAYREUTH       =IKV-BAY
JUSTIZVOLLZUGSANSTALT BERNAU-8323=JVA-BER
JUSTIZVOLLZUGSANSTALT-81549 MUENC=JVA
KKH - GESCHéFSTST. GIESING-81541 =KKH-GIE
KKH - GESCHéFSTST. STACHUS-80331 =KKH-STA
KKH GESCHAEFTSSTE. OST-81673 MUEN=KKH-OST
KKH GESCHéFSTST. OTTOBRUN-85510 O=KKH-OTT
KKH GESCHéFSTST. PASING-81241 MUE=KKH-PAS
KKH GESCHéFSTST. SCHWABING-80802 =KKH-SCH
KKH GESCHéFSTST. WEST-80634 MUENC=KKH-WES
KKH MUENCHEN MITTE-81369 MUENCHEN=KKH-MIT
KKH-LANDESVERWALTUNG-80336 MUENCH=KKH
KRANKENKASSE F. D. GARTENBAU-3412=GARTEN
KRANKENKASSE F. D. GARTENBAU-9045=GARTEN-B
KRANKENVERS. DER BUNDESBA-34117 K=KVB-KAS
KRANKENVERS. DER BUNDESBA-42103 W=KVB-WUP
KRANKENVERS. DER BUNDESBA-48143 M=KVB-MUE
KRANKENVERS. DER BUNDESBA-76133 K=KVB-KAR
KRANKENVERS. DER BUNDESBA-83022 R=KVB
LAND. INST. FUER ARBEITSMED.-1405=ARB-BER
LANDESKRANKENHILFE-21332 LöNEBURG=LKH
LANDESKRANKENHILFE-21335 LöNEBURG=LKH-LUE
LANDESKRANKENHILFE-30175 HANNOVER=LKH-HAN
LANDESKRANKENHILFE-80336 MUENCHEN=LKH-MUE
LANDRATSAMT SOZIALHILFEVERWALT-81=LRA
LANDW. KRANKENKASSE MUEHLDORF-844=LWK-MUE
LANDW. KRANKENKASSE NB /OPF.-8403=LWK-LA
LANDW. KRANKENKASSE OBERBAYERN-81=LWK
LANDW. KRANKENKASSE OFR./MFR-9540=LWK-BA
LANDW. KRANKENKASSE SCHWABEN-8615=LWK-AUG
LANDW. KRANKENKASSE UFR..-97072 W=LWK-WUE
LANDWIRTSCCH. ALTERSKASSE-95444 B=LW-BAY
LANDWIRTSCH. ALTERSKASSE-86156 AU=LW-AUG
LIGA-VERS.-93047 REGENSBURG      =LIGA
LVA OBERBAYERN-81737 MUENCHEN    =LVA
MUENCHENER VEREIN VERS:-86150 AUG=MV-AUG
MUENCHENER VEREIN VERS:-93049 REG=MV-REG
MUENCHNER VEREIN VERS:-80336 MUEN=MVKV
MUENCHNER VEREIN VERS:-97011 WöRZ=MV-WUE
NATION. KRANKENVERS. VEREIN-89073=NAT-ULM
NOVA-VERS.S AG-22219 HAMBURG     =NOVA-KV
OCHAMPUSEUR USA-ARMY-69126 HEIDEL=USA
PARTNER-GRUPPE KRANKENVERS.-63014=PGKV
PAX-KRANKENKASSE KATH.PRIESTER-50=PAX
PBK DIE PERSôôNLICHE-85221 DACHAU  BKK-NIC
POSTBEAMTEN KK A-14057 BERLIN    =PBKA-BER
POSTBEAMTEN KK A-93049 REGENSBURG=PBK-REG
POSTBEAMTEN KK-44139 DORTMUND    =PBK-DOR
POSTBEAMTEN KK-70372 STUTTGART   =PBK-STU
POSTBEAMTEN KK-79114 FREIBURG    =PBK-FRE
POSTBEAMTEN KK-80339 MUENCHEN    =PBK-AUG
POSTBEAMTEN KK-80339 MUENCHEN    =PBK
POSTBEAMTEN KK-90402 NUERNBERG   =PBK-NUE
POSTBEAMTEN KK-93049 REGENSBURG  =PBK-BAY
SCHWAEBISCH GMUENDER ERSATZ- K-80=SGE
SENATOR FUER FINANZEN-10789 BERLI=FINANZ
SIGNAL VERS.-44139 DORTMUND      =SIGN-DOR
SIGNAL VERS.-80637 MUENCHEN      =SIGNAL
SOZIALAMT - ZENTRALE HILFEN-81673=SOZ-OBD
SOZIALAMT OST 1-81737 MUENCHEN   =SOZ-OST1
SOZIALAMT OST 2-81673 MUENCHEN   =SOZ-OST
SOZIALAMT-FLUECHTLING-80335 MÅnch=SOZ-FLUE
SOZIALAMT-MITTE BEZ. 1 9-1220-803=SOZ-MITTE
SOZIALAMT-NORD 1-80807 Muenchen  =SOZ-NORD
SOZIALAMT-NORD 2 -80636 MUENCHEN =SOZ-NORD2
SOZIALAMT-SUED BEZ. 19 24 34 3 3-=SOZ-SUED
SOZIALAMT-WEST BEZ. 25 35 37-4 -8=SOZ-WEST
SOZIALHILFEVERWALTUNG BEZIRK O-81=BEZ
STAATL.AUSFUEHRUNGSBEH.UNFALLV-80=UNFALL-BG
STADT AUGSBURG SCHULAMT-86159 AUG=SCHUL-AUG
SUEDD. VERS.-70182 STUTTGART     =SUEDD-STU
SUEDD. VERS.-79014 FREIBURG      =SUEDD-FRE
SUEDD. VERS.-86013 AUGSBURG      =SUEDDT-KV
SUEDD. VERS.-88192 RAVENSBURG    =SUEDD-RAV
TECHNIKER KRANKENKASSE ERSATZK-80=TKK
UNFALLKASSE POST U. TELECOM-72017=BUND-BG
UNION VERS.-66111 SAARBRöCKEN    =UNION
UNIVERSA VERS.-90489 NöRNBERG    =UNIVERSA
US-KASERNE-83043 BAD AIBLING     =US-HOSP
VEREINIGTE ARABISCHE-EMIRATE-5311=ARAB.EMIR
VEREINTE VERS.-10777 BERLIN      =VKV-BER
VEREINTE VERS.-20097 HAMBURG     =VKV-HAM
VEREINTE VERS.-24920 FLENSBURG   =VKV-FLE
VEREINTE VERS.-26018 OLDENBURG   =VKV-OLD
VEREINTE VERS.-28007 BREMEN      =VKV-BRE
VEREINTE VERS.-30061 HANNOVER    =VKV-HAN
VEREINTE VERS.-33602 BIELEFELD   =VKV-BIE
VEREINTE VERS.-34037 KASSEL      =VKV-KAS
VEREINTE VERS.-38102 BRAUNSCHWEIG=VKV-BRA
VEREINTE VERS.-40237 DUESSELDORF =VKV-DUE
VEREINTE VERS.-44047 DORTMUND    =VKV-DOR
VEREINTE VERS.-45039 ESSEN       =VKV-ESS
VEREINTE VERS.-48044 MöNSTER     =VKV-MUE
VEREINTE VERS.-50606 KôLN        =VKV-KOE
VEREINTE VERS.-56068 KOBLENZ     =VKV-KOB
VEREINTE VERS.-60079 FRANKFURT   =VKV-FRA
VEREINTE VERS.-65047 WIESBADEN   =VKV-WIE
VEREINTE VERS.-67410 NEUSTADT    =VKV-NEU
VEREINTE VERS.-70044 STUTTGART   =VKV-STU
VEREINTE VERS.-76050 KARLSRUHE   =VKV-KAR
VEREINTE VERS.-79016 FREIBURG    =VKV-FRE
VEREINTE VERS.-80632 MUENCHEN    =VKV
VEREINTE VERS.-81737 MUENCHEN    =VKV-HAUPT
VEREINTE VERS.-86016 AUGSBURG    =VKV-AUG
VEREINTE VERS.-88193 RAVENSBURG  =VKV-RAV
VEREINTE VERS.-90119 NöRNBERG    =VKV-NUE
VEREINTE VERS.-93047 REGENSBURG  =VKV-REG
VEREINTE VERS.-94015 PASSAU      =VKV-PAS
VEREINTE VERS.-95412 BAYREUTH    =VKV-BAY
VEREINTE VERS.-97001 WöRZBURG    =VKV-WUE
VICTORIA-GILDE- KRANKENVERS.-4023=VGKV
WERKSTATT F. BEHINDERTE-95444 BAY=BEH-BAY
